blocks 168
 51 0x0E56C  0x8001DD6C sz=0x104  n=65         | addiu $v1, $zero, -0x2001    | nop 
 52 0x0E670  0x8001DE70 sz=0x1C   n=7   .L8001DE70 | lui $v1, %hi(D_8009D254)     | sw $zero, 0x70($v1)
 53 0x0E68C  0x8001DE8C sz=0x18   n=6   .L8001DE8C | lui $v0, %hi(D_8009D1A0)     | nop 
 54 0x0E6A4  0x8001DEA4 sz=0x1C   n=7          | lui $v1, %hi(D_8009D278)     | addiu $v0, $v0, -0x1
 55 0x0E6C0  0x8001DEC0 sz=0x8    n=2          | beqz $v0, .L8001E5EC         | sw $v0, 0x34($v1)
 56 0x0E6C8  0x8001DEC8 sz=0x18   n=6          | lui $v0, %hi(D_8009D1E8)     | addiu $v0, $zero, 0x1
 57 0x0E6E0  0x8001DEE0 sz=0x1AC  n=107        | addiu $t0, $zero, 0x82       | sll $v0, $v1, 3
 58 0x0E88C  0x8001E08C sz=0x8    n=2   .L8001E08C | bne $v1, $v0, .L8001E238     | addiu $v0, $zero, 0x2
 59 0x0E894  0x8001E094 sz=0x1A4  n=105        | addiu $a2, $zero, 0x25       | sll $v0, $v1, 3
 60 0x0EA38  0x8001E238 sz=0x8    n=2   .L8001E238 | bne $v1, $v0, .L8001E3EC     | addiu $v0, $zero, 0x3
 61 0x0EA40  0x8001E240 sz=0x1AC  n=107        | addiu $t0, $zero, 0x4A       | sll $v0, $v1, 3
 62 0x0EBEC  0x8001E3EC sz=0x8    n=2   .L8001E3EC | bne $v1, $v0, .L8001E5A8     | addiu $a2, $zero, 0x25
 63 0x0EBF4  0x8001E3F4 sz=0x1A0  n=104        | addiu $a1, $zero, 0xC1       | sll $v0, $v1, 3
 64 0x0ED94  0x8001E594 sz=0x14   n=5   .L8001E594 | addu $v0, $v0, $v1           | sb $a0, %lo(D_800B014E)($at)
 65 0x0EDA8  0x8001E5A8 sz=0x24   n=9   .L8001E5A8 | lui $a0, %hi(D_8009D278)     | nop 
 66 0x0EDCC  0x8001E5CC sz=0x4    n=1          | sw $zero, 0x34($a0)          | sw $zero, 0x34($a0)
 67 0x0EDD0  0x8001E5D0 sz=0x1C   n=7   .L8001E5D0 | lui $v0, %hi(D_8009D278)     | nop 
 68 0x0EDEC  0x8001E5EC sz=0xD4   n=53  .L8001E5EC | addiu $a2, $zero, 0x82       | sb $v0, %lo(D_800B0196)($at)
 69 0x0EEC0  0x8001E6C0 sz=0x14   n=5   .L8001E6C0 | lw $v1, 0x0($s2)             | lui $v0, (0x180000 >> 16)
 70 0x0EED4  0x8001E6D4 sz=0x24   n=9          | lui $v0, %hi(D_8009D234)     | lui $v1, (0xFF7FFFFF >> 16)
