opcode,opcode_dec,handler,in_text,used_on_graph,use_count,scenes,known,jals,stores
0x0A,10,0x800173F4,True,True,18594,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0013i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0029i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0050i,m0051i,m0052i,m0055i,m0056i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0278i,m0279i,m0280i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0349i,m0350i,m0351i,m0352i,m0353i,m0354i,m0355i,m0358i,m0359i,m0361i,m0362i,m0363i,m0366i,m0367i,m0372i,m0373i,m0374i,m0377i,m0378i,m0380i,m0381i,m0425i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i",assign,,
0x0B,11,0x80012C20,True,True,2877,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0013i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0029i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0050i,m0051i,m0052i,m0055i,m0056i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0278i,m0279i,m0280i,m0281i,m0282i,m0283i,m0284i,m0285i,m0286i,m0287i,m0288i,m0319i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0349i,m0350i,m0358i,m0359i,m0367i,m0372i,m0373i,m0374i,m0377i,m0378i,m0380i,m0381i,m0425i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i",pose_or_snap,0x8001AA78,sw@0x800A0028 sw@0x800A002C sw@0x800A0030 sw@0x800A0040 sw@0x800A0044 sw@0x800A0048 sw@0x800C0000 sw@0x800A0040 sw@0x800A0044 sw@0x800A0048 sw@0x800A0068 sw@0x800A006C
0x0C,12,0x80012E7C,True,True,475,"m0005i,m0009i,m0012i,m0013i,m0014i,m0016i,m0020i,m0022i,m0023i,m0026i,m0027i,m0028i,m0030i,m0031i,m0032i,m0034i,m0046i,m0047i,m0048i,m0052i,m0055i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0074i,m0075i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0089i,m0092i,m0095i,m0097i,m0100i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0118i,m0120i,m0121i,m0122i,m0123i,m0126i,m0129i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0145i,m0146i,m0147i,m0148i,m0149i,m0152i,m0153i,m0154i,m0156i,m0159i,m0273i,m0283i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0332i,m0334i,m0348i,m0350i,m0358i,m0380i,m0428i,m0429i,m0432i",,,
0x0D,13,0x80017410,True,True,1687,"m0001i,m0002i,m0003i,m0004i,m0005i,m0006i,m0009i,m0011i,m0012i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0023i,m0025i,m0028i,m0030i,m0031i,m0032i,m0033i,m0034i,m0035i,m0036i,m0039i,m0041i,m0042i,m0043i,m0044i,m0045i,m0046i,m0047i,m0048i,m0049i,m0051i,m0052i,m0055i,m0056i,m0058i,m0059i,m0060i,m0061i,m0062i,m0064i,m0066i,m0067i,m0068i,m0069i,m0070i,m0071i,m0072i,m0074i,m0075i,m0077i,m0078i,m0079i,m0080i,m0084i,m0087i,m0088i,m0089i,m0090i,m0091i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0123i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0131i,m0132i,m0134i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0152i,m0153i,m0154i,m0155i,m0158i,m0160i,m0239i,m0259i,m0271i,m0272i,m0273i,m0275i,m0276i,m0283i,m0288i,m0319i,m0320i,m0321i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0350i,m0351i,m0352i,m0358i,m0359i,m0367i,m0372i,m0373i,m0374i,m0381i,m0425i,m0426i,m0427i,m0428i,m0429i,m0430i,m0432i",message_open,0x800375E0,
0x0E,14,0x80014228,True,True,119,"m0005i,m0012i,m0013i,m0014i,m0016i,m0023i,m0027i,m0028i,m0030i,m0032i,m0034i,m0059i,m0061i,m0062i,m0063i,m0065i,m0066i,m0067i,m0075i,m0078i,m0080i,m0081i,m0082i,m0083i,m0085i,m0086i,m0087i,m0089i,m0100i,m0104i,m0107i,m0111i,m0113i,m0115i,m0116i,m0118i,m0120i,m0121i,m0122i,m0123i,m0126i,m0129i,m0137i,m0139i,m0140i,m0141i,m0146i,m0147i,m0149i,m0152i,m0153i,m0154i,m0156i,m0324i,m0326i,m0327i,m0328i,m0358i,m0380i,m0429i",,,
0x0F,15,0,False,False,0,,,,
0x10,16,0,False,False,0,,,,
0x11,17,0x800130B4,True,True,345,"m0001i,m0002i,m0003i,m0005i,m0009i,m0012i,m0014i,m0016i,m0017i,m0018i,m0020i,m0021i,m0022i,m0028i,m0030i,m0031i,m0032i,m0041i,m0042i,m0043i,m0045i,m0046i,m0047i,m0048i,m0051i,m0052i,m0055i,m0056i,m0058i,m0059i,m0060i,m0061i,m0062i,m0064i,m0066i,m0067i,m0068i,m0074i,m0075i,m0077i,m0078i,m0079i,m0080i,m0084i,m0087i,m0092i,m0093i,m0094i,m0095i,m0096i,m0097i,m0098i,m0099i,m0100i,m0102i,m0103i,m0104i,m0106i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0116i,m0117i,m0118i,m0120i,m0121i,m0124i,m0125i,m0126i,m0127i,m0128i,m0129i,m0132i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0152i,m0153i,m0154i,m0155i,m0275i,m0276i,m0283i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0351i,m0352i,m0353i,m0354i,m0355i,m0358i,m0361i,m0362i,m0363i,m0366i,m0374i,m0381i,m0438i",button_or_facing_test,,sw@0x800A0000 sw@0x80000000
0x12,18,0x800131E8,True,True,1867,"m0002i,m0003i,m0005i,m0012i,m0013i,m0014i,m0016i,m0017i,m0020i,m0022i,m0023i,m0025i,m0026i,m0027i,m0028i,m0030i,m0031i,m0032i,m0034i,m0041i,m0042i,m0043i,m0044i,m0046i,m0047i,m0048i,m0051i,m0052i,m0055i,m0057i,m0058i,m0059i,m0060i,m0061i,m0062i,m0063i,m0064i,m0065i,m0066i,m0067i,m0068i,m0069i,m0070i,m0072i,m0073i,m0074i,m0075i,m0076i,m0077i,m0078i,m0079i,m0080i,m0081i,m0082i,m0083i,m0084i,m0085i,m0086i,m0087i,m0088i,m0089i,m0090i,m0095i,m0097i,m0099i,m0100i,m0103i,m0104i,m0107i,m0108i,m0111i,m0112i,m0113i,m0114i,m0115i,m0116i,m0117i,m0118i,m0120i,m0121i,m0122i,m0123i,m0125i,m0126i,m0127i,m0128i,m0129i,m0130i,m0131i,m0132i,m0133i,m0134i,m0135i,m0136i,m0137i,m0138i,m0139i,m0140i,m0141i,m0142i,m0143i,m0144i,m0145i,m0146i,m0147i,m0148i,m0149i,m0150i,m0151i,m0152i,m0153i,m0154i,m0155i,m0156i,m0157i,m0158i,m0159i,m0160i,m0273i,m0275i,m0276i,m0283i,m0288i,m0320i,m0321i,m0322i,m0323i,m0324i,m0325i,m0326i,m0327i,m0328i,m0329i,m0330i,m0331i,m0332i,m0334i,m0339i,m0348i,m0349i,m0350i,m0353i,m0354i,m0355i,m0358i,m0359i,m0361i,m0362i,m0363i,m0366i,m0373i,m0374i,m0377i,m0380i,m0381i,m0426i,m0428i,m0429i,m0430i,m0432i,m0438i",,,sw@0x800A00A8 sw@0x800A0028 sw@0x800A0024 sw@0x800A0028 sw@0x800A0024 sw@0x800A0000 sw@0x800A000C sw@0x800A0004 sw@0x800A0010 sh@0x800A0008 sh@0x800A000A
0x13,19,0x800176B8,True,True,15,"m0022i,m0028i,m0032i,m0086i,m0089i,m0145i,m0152i,m0153i,m0154i,m0273i,m0332i,m0350i,m0428i,m0429i",,,sw@0x800A0098
