tick,cycles,pc,ra,fn,hp_addr,old,new,delta,mode,d4d4,scratch0,dest,d278,d2e8,gp90,a0,a1,a2,a3,sp,insn_words
0x00000117,0xfe439975,0x8001e940,0x8002a504,unknown,0x800b8a2c,40,40,0,0x00000000,0x01,0x0000011c,0xa8001248,0x800b8a20,0x00000004,0x801a0140,0x800b8a20,0x000000c1,0x00000025,0x801ffd58,0x801ffa68,
0x0000012f,0xffbe85ee,0x8001f704,0x8001f5f0,unknown,0x800b8a2c,40,39,-1,0x00000000,0x01,0x0000011c,0xa8001248,0x800b8a20,0x00000004,0x801a0140,0x800b8a20,0x00000000,0x800b8a20,0x00000103,0x801ffa38,
0x000001c8,0x099124d5,0x8001f704,0x8001f5f0,unknown,0x800b8a2c,39,34,-5,0x00000000,0x01,0x0000011c,0xa8001248,0x800b8a20,0x00000004,0x801a12ec,0x800b8a20,0x00000000,0x800b8a20,0x00000184,0x801ffa38,
