wall,tick,cycles,pc,mode,d4d4,scratch0,dest,d278,hp,d2e8,gp90,pad_phase,identity
17:33:34,75,1561646381,0x8010ca7c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:35,75,1593252638,0x80191bb0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:36,75,1628809709,0x8007c4e0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:37,75,1666624375,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:38,75,1703310245,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:39,75,1735480930,0x8007c484,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:40,75,1771038007,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:41,75,1804901890,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:42,75,1837636997,0x8010ca7c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:43,75,1872629662,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:44,75,1906493536,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:45,75,1940357415,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:46,75,1974221296,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:47,75,2006391990,0x8007c4e0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:48,75,2041949071,0x8007affc,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:49,75,2075812935,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:50,75,2109676822,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:51,75,2143540688,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:52,75,2177404579,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:53,75,2211268454,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:54,75,2245132325,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:55,75,2278431818,0x8010ca7c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:56,75,2312860098,0x80073ab4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:57,75,2346723965,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:58,75,2380023451,0x8010cb00,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:33:59,75,2414451755,0x8010cadc,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:00,75,2447751244,0x8010cad8,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:01,75,2481615096,0x8010cad8,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:02,75,2515478976,0x8010ca7c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:03,75,2549342895,0x8010ca7c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:04,75,2583206734,0x8007c534,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:05,75,2619328209,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:06,75,2656578471,0x8018f924,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:07,75,2701165910,0xbfc088e8,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:08,75,2748011010,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:09,75,2790905211,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:10,75,2836621431,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:11,75,2877258089,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:12,75,2919023538,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:13,75,2964175387,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:14,75,3010456019,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
