tick,cycles,pc,ra,fn,old,new,mode,scratch0,dest,d278,hp,d2e8,gp90,a0,a1,a2,a3,sp,insn_words
1,0x04fbe969,0xbfc065fc,0xbfc05f74,unknown,0x00,0x00,0x00000000,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x8009d000,0x00000200,0x1f8010f0,0x1f8010b0,0x00008560,
6,0x0e7a24d2,0x80072544,0xbfc03d50,unknown,0x00,0x00,0x00000000,0x00000000,0x00000000,0x00000000,-1,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0x0000002a,0x801fff00,
213,0xf67db427,0x80029488,0x80029918,unknown,0x00,0x00,0x00000000,0x00000108,0xa8001248,0x800b8a20,40,0x00000001,0x801a4a7c,0xffbfffff,0x800b8a20,0x0000002d,0x00000000,0x801ffe68,
225,0xfb19c63a,0x80033a34,0x80019d34,unknown,0x00,0x00,0x00000007,0x0000011c,0xa8001248,0x800b8a20,40,0x00000004,0x801a5b20,0x801ffed0,0x00000000,0x00000000,0x801a5b20,0x801ffea8,
