scene,ida,idb,source_package,source_offset,size,sha256,frames,enc,bones_minus_1,dest_slot,writer_pc,reachable_via,first_known_consumer,confidence,notes
m0367i,2,0x08,m0367i_chunk2,0x101D8,3236,e7de4e7053ed0b8f7c7e8a1ee47787fb3e66e959cfa5fb0e3c842691711ed44d,70,1,22,D_800B0E98[2*192+8*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,2,0x09,m0367i_chunk2,0x10E7C,300,6bd22d6ce60cab2b0d70ec11433cd51d321394b9f9d1533da14ec8b02e970eb3,1,1,22,D_800B0E98[2*192+9*4],0x8006B84C,type1_0x08,type2 0x2E +0x94 after 0xC1,PROVEN,do not name clip from appearance
m0367i,2,0x0A,m0367i_chunk2,0x10FA8,3712,ccb4bde8d552e177d0c29fc6e64e3c3dee6dda0b4c096779df39e89f54d86630,70,1,22,D_800B0E98[2*192+10*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x00,m0367i_chunk2,0xB7CC,300,74ba5c54239129747dc470ce310de99121930f9e2cc1195855c16dbc7d7a426b,1,1,22,D_800B0E98[3*192+0*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x01,m0367i_chunk2,0xB8F8,1376,fa5111e33f7ddfe38f9f3824db340e32b19690decf7de2f0969aa7e0d63598c6,30,1,22,D_800B0E98[3*192+1*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x02,m0367i_chunk2,0xBE58,1000,ffe09d10cf07add61050b2c98bbd5a20e9b68b4334d0142c392514fb54a90a3e,18,1,22,D_800B0E98[3*192+2*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x03,m0367i_chunk2,0xC240,2348,205b686f52ea01caf335da54438dd1acb61022c67b6d916a0abbf20b6a20aada,70,1,22,D_800B0E98[3*192+3*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x04,m0367i_chunk2,0xCB6C,3032,42dfa883c6ca0b6b175a06476231c47d0934acf9238cd99549f8844e9f79415b,70,1,22,D_800B0E98[3*192+4*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x05,m0367i_chunk2,0xD744,3740,77b35e6ee2b83dc2b2bdab4e4158f90de550096b2bced74d4aab8d32e86b9159,80,1,22,D_800B0E98[3*192+5*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x06,m0367i_chunk2,0xE5E0,3900,e193ce524f60193c6713a0b16aef0a1b3b092abdb3507afb82d396933b760326,80,1,22,D_800B0E98[3*192+6*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
