index,index_hex,rw,operation,value,value_hex,scene,table_index,module,script_pc,handler,opcode,modes,args,src_bank,dst_bank,alu_desc,signedness,branch_consequence,notes
74,0x4A,read,alu_slt_ab,24,0x18,m0004i,3,0,+0x0078,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x18,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x0F30,a
1,0x1,read,alu_eq,5,0x5,m0004i,3,0,+0x00CC,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x5,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x1020,a
24,0x18,read,alu_and,1,0x1,m0004i,3,0,+0x0100,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0x1,persist,cond,dst = a & b,u32,skip-if-false -> +0x0FF0,a
24,0x18,read,alu_and,4294967294,0xFFFFFFFE,m0004i,3,0,+0x0158,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0xFFFFFFFE,persist,cond,dst = a & b,u32,,a
24,0x18,write,assign,,,m0004i,3,0,+0x0170,0x800173F4,0x0A,2 3,0x18 0x0,cond,persist,,,,
1,0x1,read,alu_eq,3,0x3,m0004i,3,0,+0x01BC,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x3,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x1084,a
1,0x1,read,alu_eq,378,0x17A,m0004i,3,0,+0x0220,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x17A,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x10E8,a
74,0x4A,read,alu_slt_ab,24,0x18,m0004i,3,0,+0x02F0,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x18,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x1424,a
0,0x0,read,alu_and,2,0x2,m0004i,3,0,+0x033C,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0x2,persist,cond,dst = a & b,u32,skip-if-false -> +0x11D4,a
0,0x0,read,alu_and,4294967293,0xFFFFFFFD,m0004i,3,0,+0x051C,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0xFFFFFFFD,persist,cond,dst = a & b,u32,,a
0,0x0,write,assign,,,m0004i,3,0,+0x0534,0x800173F4,0x0A,2 3,0x0 0x0,cond,persist,,,,
74,0x4A,write,assign,24,0x18,m0004i,3,0,+0x0544,0x800173F4,0x0A,2 0,0x4A 0x18,imm,persist,,,,
1,0x1,write,assign,4,0x4,m0004i,3,0,+0x06AC,0x800173F4,0x0A,2 0,0x1 0x4,imm,persist,,,,
24,0x18,read,alu_or,1,0x1,m0004i,3,0,+0x071C,0x80012850,0x09,0 3 2 0,0x2 0x0 0x18 0x1,persist,cond,dst = a | b,u32,,a
24,0x18,write,assign,,,m0004i,3,0,+0x0734,0x800173F4,0x0A,2 3,0x18 0x0,cond,persist,,,,
1,0x1,write,assign,4,0x4,m0004i,3,0,+0x07C0,0x800173F4,0x0A,2 0,0x1 0x4,imm,persist,,,,
74,0x4A,read,alu_slt_ab,40,0x28,m0004i,3,1,+0x0B4C,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x28,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x0F80,a
0,0x0,read,alu_and,2,0x2,m0004i,3,1,+0x0B90,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0x2,persist,cond,dst = a & b,u32,,a
74,0x4A,read,alu_slt_ab,24,0x18,m0004i,3,1,+0x0BD0,0x80012850,0x09,0 3 2 0,0xA 0x2 0x4A 0x18,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x1004,a
74,0x4A,read,alu_sge_ab,24,0x18,m0004i,3,1,+0x0C20,0x80012850,0x09,0 3 2 0,0xC 0x0 0x4A 0x18,persist,cond,dst = (a >= b) signed,slt,skip-if-false -> +0x1064,a
1,0x1,write,assign,4,0x4,m0004i,3,4,+0x0F30,0x800173F4,0x0A,2 0,0x1 0x4,imm,persist,,,,
1,0x1,read,alu_eq,1,0x1,m0378i,377,0,+0x00A8,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x1,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x0728,a
1,0x1,read,alu_eq,377,0x179,m0378i,377,0,+0x0100,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x179,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x0780,a
1,0x1,read,alu_eq,4,0x4,m0378i,377,0,+0x0158,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x4,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x07D8,a
1,0x1,write,assign,378,0x17A,m0378i,377,0,+0x0380,0x800173F4,0x0A,2 0,0x1 0x17A,imm,persist,,,,
74,0x4A,read,alu_slt_ba,120,0x78,m0378i,377,1,+0x044C,0x80012850,0x09,0 3 2 0,0x9 0x0 0x4A 0x78,persist,cond,dst = (b < a) signed,slt,skip-if-false -> +0x071C,a
74,0x4A,read,alu_slt_ab,48,0x30,m0378i,377,4,+0x06E8,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x30,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x074C,a
1,0x1,write,assign,378,0x17A,m0378i,377,4,+0x0724,0x800173F4,0x0A,2 0,0x1 0x17A,imm,persist,,,,
1,0x1,write,assign,378,0x17A,m0378i,377,4,+0x0760,0x800173F4,0x0A,2 0,0x1 0x17A,imm,persist,,,,
1,0x1,read,alu_eq,378,0x17A,m0377i,376,0,+0x00B8,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x17A,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x07A4,a
